team,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency
MIN,6,0,0,45,15,105,51,107,25,25,23,17,85,4.48
MIN,3,0,16,316,136,816,188,459,158,88,95,107,254,16.68
MIN,7,0,0,1,0,2,0,0,1,2,0,0,0,0.4
MIN,7,0,0,5,2,12,8,6,0,1,0,4,9,2.14
MIN,1,0,101,701,356,2061,296,711,220,56,103,212,241,31.18
MIN,0,0,21,97,36,293,24,142,188,78,36,89,178,6.12
MIN,1,0,56,95,45,403,57,187,79,40,20,59,154,8.03
MIN,5,0,60,201,254,836,68,237,682,128,10,195,202,18.36
MIN,3,0,49,239,147,772,84,136,35,22,6,56,86,8.83
MIN,1,0,26,49,33,209,10,57,156,48,5,38,50,5.68
MIN,2,0,120,206,117,889,19,141,139,41,10,85,104,16.38
LAL,0,0,55,221,133,740,60,256,166,50,36,116,158,9.9
LAL,9,0,5,48,18,129,11,41,36,24,8,19,29,6.75
LAL,1,0,135,216,147,984,31,190,303,87,16,176,130,14.59
LAL,0,0,1,46,25,120,17,46,14,13,7,11,36,8.6
LAL,0,0,0,126,32,284,41,118,30,14,33,30,66,9.95
LAL,2,0,117,360,134,1205,49,197,213,88,8,164,150,12.22
LAL,2,0,17,360,204,975,150,486,264,49,37,173,248,18.81
LAL,12,0,51,113,46,425,63,232,74,48,20,43,61,9.98
LAL,16,0,9,10,10,57,5,15,11,10,2,7,18,1.76
LAL,9,0,170,102,77,791,25,113,58,37,14,36,137,10.68
LAL,2,0,1,149,82,383,144,199,39,29,44,58,173,9.49
LAL,4,0,0,105,31,241,84,139,31,26,9,46,76,8.19
LAL,6,0,0,169,63,401,104,160,43,16,31,72,133,9.7
LAL,2,0,21,44,19,170,5,21,52,19,2,21,29,7.68
PHO,1,0,0,138,70,346,94,198,23,27,32,37,125,11.79
PHO,3,0,3,227,150,613,156,354,44,38,98,102,242,12.57
PHO,5,0,45,164,132,595,25,93,130,27,5,88,87,8.72
PHO,0,0,3,65,29,168,39,40,12,14,13,13,63,6.88
PHO,1,0,147,459,367,1726,46,203,268,72,21,241,242,16.28
PHO,0,0,28,29,4,146,23,80,23,10,22,32,74,3.91
PHO,2,0,0,1,1,3,3,3,1,0,0,2,2,1
PHO,6,0,104,345,388,1390,52,268,418,91,31,224,164,21.83
PHO,9,0,77,80,43,434,31,194,121,42,16,73,154,9
PHO,1,0,4,2,8,24,1,6,0,1,0,1,1,3.6
PHO,4,0,1,1,2,7,0,1,1,0,0,0,0,1.5
PHO,13,0,35,137,40,419,15,89,81,31,8,48,82,5.6
PHO,0,0,72,212,113,753,96,252,60,67,70,108,263,10.27
PHO,11,0,3,1,3,14,3,8,18,11,1,3,14,2.29
PHO,2,0,26,377,119,951,125,214,75,76,39,57,175,15.33
PHO,0,0,21,163,55,444,20,75,226,48,5,77,73,8
PHO,15,0,0,153,91,397,153,386,30,33,24,65,126,18.79
